Date,Symbol,Company Name,Type,Split Ratio
"Dec 30, 2014",HAIN,Hain Celestial Group Inc,Forward,2 for 1
"Dec 23, 2014",MARA,Mara Holdings Inc,Forward,2 for 1
"Dec 11, 2014",FNBG,Fnb Bancorp,Forward,1.05 for 1
"Dec 10, 2014",CRESY,Cresud Inc,Forward,1.01 for 1
"Dec 9, 2014",IBN,Icici Bank Ltd.,Forward,5 for 1
"Dec 8, 2014",INFY,Infosys Ltd.,Forward,2 for 1
"Nov 28, 2014",LARK,Landmark Bancorp Inc,Forward,1.05 for 1
"Nov 26, 2014",BSF,Bear State Financial Inc,Forward,1.11 for 1
"Nov 25, 2014",JAH,Jarden Corp,Forward,1.5 for 1
"Nov 25, 2014",CBSH,Commerce Bancshares Inc,Forward,1.05 for 1
"Nov 17, 2014",STN,Stantec Inc,Forward,2 for 1
"Nov 17, 2014",CARO,Carolina Financial Corp,Forward,2 for 1
"Nov 6, 2014",QRVO,Qorvo Inc,Forward,500 for 1
"Nov 4, 2014",VIPS,Vipshop Holdings Ltd.,Forward,10 for 1
"Nov 4, 2014",SYNT,Syntel Inc,Forward,2 for 1
"Nov 3, 2014",CALM,Cal-maine Foods Inc,Forward,2 for 1
"Oct 24, 2014",CVLY,Codorus Valley Bancorp Inc,Forward,1.05 for 1
"Oct 17, 2014",PBHC,Pathfinder Bancorp Inc,Forward,1.5 for 1
"Oct 16, 2014",FLIC,First Of Long Island Corp,Forward,1.5 for 1
"Oct 15, 2014",SNN,Smith & Nephew PLC,Forward,2.5 for 1
"Oct 10, 2014",APH,Amphenol Corp,Forward,2 for 1
"Oct 9, 2014",PHX,Phx Minerals Inc,Forward,2 for 1
"Oct 8, 2014",UBFO,United Security Bancshares,Forward,1.01 for 1
"Sep 29, 2014",COLM,Columbia Sportswear Co.,Forward,2 for 1
"Sep 24, 2014",GRBK,Green Brick Partners Inc,Forward,1.53 for 1
"Sep 18, 2014",TYME,Tyme Technologies Inc,Forward,4.33 for 1
"Sep 17, 2014",AROW,Arrow Financial Corp,Forward,1.02 for 1
"Sep 11, 2014",VGR,Vector Group Ltd.,Forward,1.05 for 1
"Sep 11, 2014",CLR,Continental Resources Inc,Forward,2 for 1
"Sep 9, 2014",CPK,Chesapeake Utilities Corp,Forward,1.5 for 1
"Sep 8, 2014",UGI,Ugi Corp,Forward,1.5 for 1
"Sep 3, 2014",ATRO,Astronics Corp,Forward,1.2 for 1
"Aug 21, 2014",EPD,Enterprise Products Partners Lp,Forward,2 for 1
"Aug 8, 2014",JOBS,51job Inc,Forward,2 for 1
"Aug 7, 2014",WBD,Warner Bros Discovery Inc,Forward,2 for 1
"Aug 7, 2014",DISCK,Warner Bros Discovery Inc,Forward,2 for 1
"Jul 29, 2014",EBSB,Meridian Bancorp Inc,Forward,2.45 for 1
"Jul 24, 2014",FWONB,Liberty Media Corp,Forward,2.87 for 1
"Jul 24, 2014",FWONA,Liberty Media Corp,Forward,2.87 for 1
"Jul 17, 2014",SFBS,Servisfirst Bancshares Inc,Forward,3 for 1
"Jul 17, 2014",AAON,Aaon Inc,Forward,1.5 for 1
"Jul 11, 2014",ACIW,Aci Worldwide Inc,Forward,3 for 1
"Jul 10, 2014",ALK,Alaska Air Group Inc,Forward,2 for 1
"Jul 9, 2014",UBFO,United Security Bancshares,Forward,1.01 for 1
"Jul 2, 2014",GL,Globe Life Inc,Forward,1.5 for 1
"Jul 2, 2014",EFSH,1847 Holdings LLC,Forward,75 for 1
"Jun 27, 2014",MIDD,Middleby Corp,Forward,3 for 1
"Jun 27, 2014",CORE,Core-mark Holding Company Inc,Forward,2 for 1
"Jun 26, 2014",CELG,Celgene Corp,Forward,2 for 1
"Jun 24, 2014",OZK,Bank Of The Ozarks Inc,Forward,2 for 1
"Jun 20, 2014",TRN,Trinity Industries Inc,Forward,2 for 1
"Jun 18, 2014",UFS,Domtar Corp,Forward,2 for 1
"Jun 18, 2014",CZFS,Citizens Financial Services Inc,Forward,1.01 for 1
"Jun 17, 2014",ARLP,Alliance Resource Partners Lp,Forward,2 for 1
"Jun 13, 2014",ETP,Energy Transfer Partners Lp,Forward,2 for 1
"Jun 11, 2014",HWBK,Hawthorn Bancshares Inc,Forward,1.04 for 1
"Jun 9, 2014",UNP,Union Pacific Corp,Forward,2 for 1
"Jun 9, 2014",AAPL,Apple Inc,Forward,7 for 1
"Jun 6, 2014",ITUB,Itau Unibanco Holding SA,Forward,1.1 for 1
"Jun 3, 2014",FFIN,First Financial Bankshares Inc,Forward,2 for 1
"May 30, 2014",LINK,Interlink Electronics Inc,Forward,4 for 1
"May 30, 2014",LBAI,Lakeland Bancorp Inc,Forward,1.05 for 1
"May 23, 2014",AWHHF,Allied World Assurance Co Holdings Ag,Forward,3 for 1
"May 22, 2014",CUBI,Customers Bancorp Inc,Forward,1.1 for 1
"May 20, 2014",BHB,Bar Harbor Bankshares,Forward,1.5 for 1
"May 8, 2014",TREX,Trex Co Inc,Forward,2 for 1
"May 8, 2014",ISBC,Investors Bancorp Inc,Forward,2.55 for 1
"May 2, 2014",ARCW,Arc Group Worldwide Inc,Forward,2.5 for 1
"Apr 22, 2014",CX,Cemex SAB de CV,Forward,1.04 for 1
"Apr 16, 2014",BAP,Credicorp Ltd.,Forward,1.04 for 1
"Apr 15, 2014",UAA,Under Armour Inc,Forward,2 for 1
"Apr 15, 2014",UA,Under Armour Inc,Forward,2 for 1
"Apr 14, 2014",LVNTB,Qvc Group Inc,Forward,2 for 1
"Apr 14, 2014",LVNTA,Qvc Group Inc,Forward,2 for 1
"Apr 9, 2014",UBFO,United Security Bancshares,Forward,1.01 for 1
"Apr 8, 2014",SBSI,Southside Bancshares Inc,Forward,1.05 for 1
"Apr 8, 2014",NJDCY,Nidec Corp,Forward,2 for 1
"Apr 7, 2014",SFUNY,Fang Holdings Ltd.,Forward,5 for 1
"Apr 7, 2014",DEG,Delhaize Group,Forward,4 for 1
"Apr 2, 2014",PEGA,Pegasystems Inc,Forward,2 for 1
"Apr 2, 2014",MVBF,Mvb Financial Corp,Forward,2 for 1
"Apr 1, 2014",EOG,Eog Resources Inc,Forward,2 for 1
"Mar 31, 2014",MLI,Mueller Industries Inc,Forward,2 for 1
"Mar 31, 2014",INSYQ,Insys Therapeutics Inc,Forward,1.5 for 1
"Mar 19, 2014",WLK,Westlake Corp,Forward,2 for 1
"Mar 17, 2014",SPGZ,Spectrum Group International Inc,Forward,5 for 1
"Mar 17, 2014",ARQ,Arq Inc,Forward,2 for 1
"Mar 12, 2014",BIOL,Biolase Inc,Forward,1.01 for 1
"Mar 10, 2014",CTSH,Cognizant Technology Solutions Corp,Forward,2 for 1
"Mar 4, 2014",LBTYK,Liberty Global Ltd.,Forward,2 for 1
"Mar 4, 2014",LBTYA,Liberty Global Ltd.,Forward,1.96 for 1
"Mar 3, 2014",ITC,Itc Holdings Corp,Forward,3 for 1
"Feb 28, 2014",TR,Tootsie Roll Industries Inc,Forward,1.03 for 1
"Feb 24, 2014",ERINQ,Erin Energy Corp,Forward,2.43 for 1
"Feb 19, 2014",OTEX,Open Text Corp,Forward,2 for 1
"Feb 19, 2014",ANDE,Andersons Inc,Forward,1.5 for 1
"Feb 12, 2014",LIVE,Live Ventures Inc,Forward,3 for 1
"Feb 10, 2014",MGEE,Mge Energy Inc,Forward,1.5 for 1
"Feb 4, 2014",LOOP,Loop Industries Inc,Forward,50 for 1
"Feb 3, 2014",TD,Toronto Dominion Bank,Forward,2 for 1
"Jan 27, 2014",ET,Energy Transfer Lp,Forward,2 for 1
"Jan 23, 2014",WSBF,Waterstone Financial Inc,Forward,1.1 for 1
"Jan 22, 2014",MA,Mastercard Inc,Forward,10 for 1
"Jan 17, 2014",AMCRY,Amcor Ltd.,Forward,1.11 for 1
"Jan 16, 2014",RLI,Rli Corp,Forward,2 for 1
"Jan 15, 2014",SNFCA,Security National Financial Corp,Forward,1.05 for 1
"Jan 14, 2014",WFG,West Fraser Timber Co Ltd.,Forward,2 for 1
"Jan 13, 2014",SCM,Stellus Capital Investment Corp,Forward,1 for 1
"Jan 13, 2014",MANH,Manhattan Associates Inc,Forward,4 for 1
"Jan 13, 2014",CIG,Energy Co Of Minas Gerais,Forward,1.31 for 1
"Jan 9, 2014",NVO,Novo Nordisk A S,Forward,5 for 1
"Jan 8, 2014",UBFO,United Security Bancshares,Forward,1.01 for 1
"Jan 8, 2014",KS,Kapstone Paper & Packaging Corp,Forward,2 for 1
