Date,Symbol,Company Name,Type,Split Ratio
"Nov 14, 2025",YDKG,Yueda Digital Holding,Reverse,1 for 100
"Nov 14, 2025",NCEW,New Century Logistics (bvi) Ltd.,Reverse,1 for 8
"Nov 12, 2025",YGMZ,Mingzhu Logistics Holdings Ltd.,Reverse,1 for 16
"Nov 10, 2025",IOTR,Iothree Ltd.,Reverse,1 for 10
"Nov 7, 2025",RAY,Raytech Holding Ltd.,Reverse,1 for 16
"Nov 5, 2025",IPST,Heritage Distilling Holding Company Inc,Reverse,1 for 20
"Nov 4, 2025",FLYE,Fly-e Group Inc,Reverse,1 for 20
"Nov 3, 2025",RETO,Reto Eco-solutions Inc,Reverse,1 for 5
"Nov 3, 2025",CJET,Chijet Motor Company Inc,Reverse,1 for 100
"Nov 3, 2025",ADTX,Aditxt Inc,Reverse,1 for 112.99
"Nov 3, 2025",ABP,Abpro Holdings Inc,Reverse,1 for 30
"Oct 31, 2025",NCEL,Newcelx Ltd.,Reverse,1 for 10
"Oct 28, 2025",ENVB,Enveric Biosciences Inc,Reverse,1 for 12
"Oct 27, 2025",YYAI,Airwa Inc,Reverse,1 for 50
"Oct 27, 2025",SONM,Sonim Technologies Inc,Reverse,1 for 18
"Oct 27, 2025",IPW,Ipower Inc,Reverse,1 for 30
"Oct 27, 2025",GURE,Gulf Resources Inc,Reverse,1 for 10
"Oct 27, 2025",CYCU,Cycurion Inc,Reverse,1 for 30
"Oct 23, 2025",SMX,Smx (security Matters) Public Ltd Co.,Reverse,1 for 10.9
"Oct 21, 2025",WOK,Work Medical Technology Group Ltd.,Reverse,1 for 100
"Oct 21, 2025",GNPX,Genprex Inc,Reverse,1 for 50
"Oct 20, 2025",SENS,Senseonics Holdings Inc,Reverse,1 for 20
"Oct 20, 2025",ETHZ,Ethzilla Corp,Reverse,1 for 10
"Oct 20, 2025",DHAI,Dih Holding Us Inc,Reverse,1 for 25
"Oct 20, 2025",AEMD,Aethlon Medical Inc,Reverse,1 for 10
"Oct 13, 2025",PSIG,Ps International Group Ltd.,Reverse,1 for 8
"Oct 13, 2025",LPSN,Liveperson Inc,Reverse,1 for 15
"Oct 13, 2025",LGCL,Lucas Gc Ltd.,Reverse,1 for 40
"Oct 13, 2025",JYD,Jayud Global Logistics Ltd.,Reverse,1 for 50
"Oct 13, 2025",CDT,Conduit Pharmaceuticals Inc,Reverse,1 for 8
"Oct 10, 2025",MOVE,Movano Inc,Reverse,1 for 10
"Oct 10, 2025",CLIK,Click Holdings Ltd.,Reverse,1 for 30
"Oct 8, 2025",NCL,Northann Corp,Reverse,1 for 8
"Oct 7, 2025",CHAI,Core Ai Holdings Inc,Reverse,1 for 4
"Oct 6, 2025",PMAX,Powell Max Ltd.,Reverse,1 for 8
"Oct 6, 2025",NVNI,Nvni Group Ltd.,Reverse,1 for 10
"Oct 6, 2025",GGR,Gogoro Inc,Reverse,1 for 20
"Oct 6, 2025",CETY,Clean Energy Technologies Inc,Reverse,1 for 15
"Oct 3, 2025",AREB,American Rebel Holdings Inc,Reverse,1 for 20
"Oct 1, 2025",YHGJ,Yunhong Green Cti Ltd.,Reverse,1 for 10
"Sep 30, 2025",YAAS,Youxin Technology Ltd.,Reverse,1 for 80
"Sep 30, 2025",RAYA,Erayak Power Solution Group Inc,Reverse,1 for 219.78
"Sep 30, 2025",POAI,Predictive Oncology Inc,Reverse,1 for 15
"Sep 30, 2025",LNAI,Lunai Bioworks Inc,Reverse,1 for 10
"Sep 29, 2025",ORKT,Orangekloud Technology Inc,Reverse,1 for 4
"Sep 29, 2025",LESL,Leslie's Inc,Reverse,1 for 20
"Sep 29, 2025",CETX,Cemtrex Inc,Reverse,1 for 15
"Sep 26, 2025",LVO,Liveone Inc,Reverse,1 for 10
"Sep 26, 2025",IBG,Innovation Beverage Group Ltd.,Reverse,1 for 5
"Sep 25, 2025",MNDR,Mobile-health Network Solutions,Reverse,1 for 5
"Sep 23, 2025",FTEL,Fitell Corp,Reverse,1 for 16
"Sep 22, 2025",NITO,N2off Inc,Reverse,1 for 35
"Sep 22, 2025",GMRE,Global Medical Reit Inc,Reverse,1 for 5
"Sep 22, 2025",BINI,Bollinger Innovations Inc,Reverse,1 for 250
"Sep 19, 2025",VOR,Vor Biopharma Inc,Reverse,1 for 20
"Sep 19, 2025",BIAF,Bioaffinity Technologies Inc,Reverse,1 for 30
"Sep 18, 2025",ECDA,Ecd Automotive Design Inc,Reverse,1 for 40
"Sep 18, 2025",ATHA,Athira Pharma Inc,Reverse,1 for 10
"Sep 17, 2025",SQNS,Sequans Communications,Reverse,1 for 10
"Sep 16, 2025",VCIG,Vci Global Ltd.,Reverse,1 for 30
"Sep 16, 2025",NXTT,Next Technology Holding Inc,Reverse,1 for 200
"Sep 15, 2025",SDOT,Sadot Group Inc,Reverse,1 for 10
"Sep 15, 2025",CLSD,Clearside Biomedical Inc,Reverse,1 for 15
"Sep 15, 2025",BDSX,Biodesix Inc,Reverse,1 for 20
