Date,Symbol,Company Name,Split Ratio
12/03/2025,NIVF,Newgenivf Group Limited,1 : 5.00
11/28/2025,TSORF,Tesoro Gold Ltd,1 : 15.00
11/26/2025,LGHL,Lion Group Holding Ltd.,1 : 13.00
11/25/2025,WEAT,Teucrium Wheat Fund,1:5
11/24/2025,ATVVF,Australian Vanadium Limited,1 : 25.00
11/21/2025,WTO,Utime Limited,1 : 100.00
11/20/2025,GLL,ProShares UltraShort Gold,1:2
11/20/2025,SQQQ,ProShares UltraPro Short QQQ,1:5
11/20/2025,SPXU,ProShares UltraPro Short S&P500,1:4
11/20/2025,EEV,ProShares UltraShort MSCI Emerging Markets,1:2
11/20/2025,SETH,ProShares Short Ether ETF,1:4
11/20/2025,UVXY,ProShares Ultra VIX Short-Term Futures ETF,1:5
11/20/2025,REW,ProShares UltraShort Technology,1:2
11/20/2025,SDS,ProShares UltraShort S&P500,1:5
11/20/2025,SRTY,ProShares UltraPro Short Russell2000,1:4
11/20/2025,ETHD,ProShares UltraShort Ether ETF,1:10
11/20/2025,FXP,ProShares UltraShort FTSE China 50,1:2
11/20/2025,YXI,ProShares Short FTSE China 50,1:2
11/20/2025,BZQ,ProShares UltraShort MSCI Brazil Capped,1:2
11/20/2025,SSG,ProShares UltraShort Semiconductors,1:4
11/17/2025,EPWK,EPWK Holdings Ltd. Class A,1 : 40.00
11/14/2025,NCEW,New Century Logistics (BVI) Ltd.,1 : 8.00
11/14/2025,YDKG,Yueda Digital Holding,1 : 100.00
11/12/2025,YGMZ,Mingzhu Logistics Holdings Ltd.,1 : 16
11/11/2025,LXP,LXP Industrial Trust,1:5
11/10/2025,ERYTF,Eagle Royalties Ltd,1:5
11/10/2025,IOTR,Iothree Ltd.,1 : 10
11/07/2025,RAY,Raytech Holding Ltd.,1 : 16
11/07/2025,BBCMF,Blackbird Critical Metals Corp,2:3
11/07/2025,MFMLF,International Iconic Gold Exploration Corp,1:10
11/07/2025,TMKEF,TMK Energy Limited,1:55
11/06/2025,AUHIF,Advanced Gold Exploration Inc,1:10
11/06/2025,BABYF,Else Nutrition Holdings Inc,1:10
11/05/2025,BMXC,Bemax Inc,1:800
11/05/2025,IPST,Heritage Distilling Holding Company Inc,1 : 20
11/05/2025,AMGRF,AMA Group Limited,1:10
11/04/2025,WGELF,Western Gold Exploration Ltd,100:385
11/04/2025,FLYE,Fly-e Group Inc,1 : 20
11/04/2025,SSEBF,Silver Spruce Resources Inc,1:15
11/03/2025,RETO,Reto Eco-solutions Inc,1 : 5
11/03/2025,REED,"Reeds, Inc",1:6
11/03/2025,TIMCF,Titan Mining Corp,2:3
11/03/2025,ABP,Abpro Holdings Inc,1 : 30
11/03/2025,CJET,Chijet Motor Company Inc,1 : 100
11/03/2025,PLLMF,Plata Latina Minerals,1:3
11/03/2025,ADTX,Aditxt Inc,1 : 112.99
10/31/2025,NCEL,Newcelx Ltd.,1 : 10
10/31/2025,COSG,Cosmos Group Holdings Inc,1:20000
10/31/2025,NLSP,NLS Pharmaceutics Ltd,1:10
10/30/2025,GGAMF,Good Gamer Entertainment Inc,1:10
10/29/2025,QNBMF,QNB Metals Inc,1:5
10/28/2025,LGMK,"LogicMark, Inc",1:750
10/28/2025,ENVB,Enveric Biosciences Inc,1 : 12
10/28/2025,ACAT,"Acasia Technology, Inc.",1:10
10/28/2025,CYPMF,Cyprium Metals Limited,1:10
10/28/2025,BATXF,Battery X Metals Inc,1:20
10/27/2025,BSENF,Baselode Energy Corp,1:5
10/27/2025,CYCU,Cycurion Inc,1 : 30
10/27/2025,NULGF,NuLegacy Gold Corporation,1:10
10/27/2025,MOJO,Equator Beverage Company,1:2
10/27/2025,IPW,Ipower Inc,1 : 30
10/27/2025,SONM,Sonim Technologies Inc,1 : 18
10/27/2025,YYAI,Airwa Inc,1 : 50
10/27/2025,GURE,Gulf Resources Inc,1 : 10
10/24/2025,BLVDF,GlobalBlock Digital Asset Trading Limited,10:48
10/24/2025,QTIH,"QT Imaging Holdings, Inc",1:3
10/24/2025,USLIF,American Salars Lithium Inc,1:10
10/23/2025,ABMMF,Prodigy Gold NL,1:20
10/23/2025,PCRCF,Bolt Metals Corp,1:25
10/23/2025,IAF,"abrdn Australia Equity Fund, Inc",1:3
10/23/2025,SMX,Smx (security Matters) Public Ltd Co.,1 : 10.9
10/23/2025,QTZCF,Quetzal Copper Corp,1:100
10/22/2025,BRYGF,Baroyeca Gold & Silver Inc,1:14
10/22/2025,GDXD,MicroSectors Gold Miners -3X Inverse Leveraged ETNs,1:20
10/21/2025,GNPX,Genprex Inc,1 : 50
10/21/2025,WOK,Work Medical Technology Group Ltd.,1 : 100
10/21/2025,TSLQ,Tradr 2X Short TSLA Daily ETF,1:3
10/21/2025,NVDS,Tradr 1.5X Short NVDA Daily ETF,1:3
10/21/2025,MYCOF,Mydecine Innovations Group Inc,1:50
10/21/2025,GIDMF,Nexus Uranium Corp,1:10
10/21/2025,CRSTF,Mineral Road Discovery Inc,1:3
10/20/2025,ETHZ,Ethzilla Corp,1 : 10
10/20/2025,SENS,Senseonics Holdings Inc,1 : 20
10/20/2025,DHAI,Dih Holding Us Inc,1 : 25
10/20/2025,AEMD,Aethlon Medical Inc,1 : 10
10/13/2025,PSIG,Ps International Group Ltd.,1 : 8
10/13/2025,LPSN,Liveperson Inc,1 : 15
10/13/2025,JYD,Jayud Global Logistics Ltd.,1 : 50
10/13/2025,LGCL,Lucas Gc Ltd.,1 : 40
10/13/2025,CDT,Conduit Pharmaceuticals Inc,1 : 8
10/10/2025,MOVE,Movano Inc,1 : 10
10/10/2025,CLIK,Click Holdings Ltd.,1 : 30
10/08/2025,NCL,Northann Corp,1 : 8
10/07/2025,CHAI,Core Ai Holdings Inc,1 : 4
10/06/2025,CETY,Clean Energy Technologies Inc,1 : 15
10/06/2025,PMAX,Powell Max Ltd.,1 : 8
10/06/2025,GGR,Gogoro Inc,1 : 20
10/06/2025,NVNI,Nvni Group Ltd.,1 : 10
10/03/2025,AREB,American Rebel Holdings Inc,1 : 20
10/01/2025,YHGJ,Yunhong Green Cti Ltd.,1 : 10
09/30/2025,LNAI,Lunai Bioworks Inc,1 : 10
09/30/2025,POAI,Predictive Oncology Inc,1 : 15
09/30/2025,RAYA,Erayak Power Solution Group Inc,1 : 219.78
09/30/2025,YAAS,Youxin Technology Ltd.,1 : 80
09/29/2025,ORKT,Orangekloud Technology Inc,1 : 4
09/29/2025,LESL,Leslie's Inc,1 : 20
09/29/2025,CETX,Cemtrex Inc,1 : 15
09/26/2025,LVO,Liveone Inc,1 : 10
09/26/2025,IBG,Innovation Beverage Group Ltd.,1 : 5
09/25/2025,MNDR,Mobile-health Network Solutions,1 : 5
09/23/2025,FTEL,Fitell Corp,1 : 16
09/22/2025,GMRE,Global Medical Reit Inc,1 : 5
09/22/2025,NITO,N2off Inc,1 : 35
09/22/2025,BINI,Bollinger Innovations Inc,1 : 250
09/19/2025,BIAF,Bioaffinity Technologies Inc,1 : 30
09/19/2025,VOR,Vor Biopharma Inc,1 : 20
09/18/2025,ATHA,Athira Pharma Inc,1 : 10
09/18/2025,ECDA,Ecd Automotive Design Inc,1 : 40
09/17/2025,SQNS,Sequans Communications,1 : 10
09/16/2025,NXTT,Next Technology Holding Inc,1 : 200
09/16/2025,VCIG,Vci Global Ltd.,1 : 30
09/15/2025,SDOT,Sadot Group Inc,1 : 10
09/15/2025,BDSX,Biodesix Inc,1 : 20
09/15/2025,CLSD,Clearside Biomedical Inc,1 : 15
09/10/2025,STKH,Steakholder Foods Ltd.,1 : 8
09/09/2025,GP,Greenpower Motor Co Inc,1 : 10
09/08/2025,GLXG,Galaxy Payroll Group Ltd.,1 : 10
09/08/2025,SDST,Stardust Power Inc,1 : 10
09/08/2025,WAI,Top Kingwin Ltd.,1 : 25
09/08/2025,SGBX,Safe & Green Holdings Corp,1 : 64.02
09/08/2025,OXLC,Oxford Lane Capital Corp,1 : 5
09/05/2025,TIRX,Tian Ruixiang Holdings Ltd.,1 : 5
09/05/2025,CNF,Cnfinance Holdings Ltd.,1 : 10
09/05/2025,KITT,Nauticus Robotics Inc,1 : 9
09/03/2025,ABTC,American Bitcoin Corp,1 : 5
09/02/2025,LCID,Lucid Group Inc,1 : 10
09/02/2025,NOTE,Fiscalnote Holdings Inc,1 : 12
09/02/2025,MSPR,Msp Recovery Inc,1 : 7
09/02/2025,QCLS,Q/c Technologies Inc,1 : 100
09/02/2025,ELAB,Pmgc Holdings Inc,1 : 3.5
08/29/2025,TC,Token Cat Ltd.,1 : 20
08/29/2025,EAF,Graftech International Ltd.,1 : 10
08/29/2025,SEGG,Sports Entertainment Gaming Global Media Corp,1 : 10
08/28/2025,DRIO,Dariohealth Corp,1 : 20
08/28/2025,GDHG,Golden Heaven Group Holdings Ltd.,1 : 15
08/26/2025,CMMB,Chemomab Therapeutics Ltd.,1 : 4
08/26/2025,USAS,Americas Gold & Silver Corp,1 : 2.5
08/26/2025,AKAN,Akanda Corp,1 : 3.13
08/25/2025,BCTX,Briacell Therapeutics Corp,1 : 10
08/25/2025,OP,Oceanpal Inc,1 : 25
08/25/2025,FRSX,Foresight Autonomous Holdings Ltd.,1 : 7
08/25/2025,GTI,Graphjet Technology,1 : 59.99
08/25/2025,SUGP,Su Group Holdings Ltd.,1 : 10
08/25/2025,QH,Quhuo Ltd.,1 : 90.01
08/25/2025,GWAV,Greenwave Technology Solutions Inc,1 : 110.01
08/22/2025,OESX,Orion Energy Systems Inc,1 : 10
08/22/2025,ZNB,Zeta Network Group,1 : 25
08/21/2025,AZTR,Azitra Inc,1 : 6.66
08/20/2025,GIBO,Gibo Holdings Ltd.,1 : 200
08/19/2025,LNZA,Lanzatech Global Inc,1 : 100
08/18/2025,SLRX,Salarius Pharmaceuticals Inc,1 : 15
08/18/2025,ENTO,Entero Therapeutics Inc,1 : 3
08/18/2025,CHSN,Chanson International Holding,1 : 80
08/15/2025,VTAK,Catheter Precision Inc,1 : 19
08/15/2025,HIND,Vyome Holdings Inc,1 : 4
08/12/2025,NAOV,Nanovibronix Inc,1 : 10
08/11/2025,SISI,Shineco Inc,1 : 50
08/11/2025,NCNA,Nucana PLC,1 : 200
08/11/2025,VERU,Veru Inc,1 : 10
08/11/2025,WATT,Energous Corp,1 : 30
08/08/2025,DEVS,Devvstream Corp,1 : 10
08/08/2025,ZBAI,Atif Holdings Ltd.,1 : 18
